,x,y,z
148,-28.59375,12.7856,97.0083
149,-28.59375,12.7856,96.9839
150,-28.59375,12.7856,96.9961
151,-28.59375,12.7856,96.97779999999999
152,-28.59375,12.7856,96.9839
153,-28.59375,12.7856,96.97779999999999
154,-28.59375,12.7856,96.98085
155,-28.59375,12.7856,97.00525
156,-28.59375,12.7856,96.98085
157,-28.59375,12.7856,96.99305
158,-28.59375,12.7856,97.0205
159,-28.59375,12.7856,97.0266
160,-28.59375,12.7856,97.00525
161,-28.59375,12.7856,97.02964999999999
162,-28.59375,12.7856,97.02355
163,-28.59375,12.7856,97.02355
164,-28.59375,12.7856,97.03880000000001
165,-28.59375,12.7856,97.04185
166,-28.59375,12.7856,97.03880000000001
167,-28.59375,12.7856,97.05099999999999
168,-28.59375,12.7856,97.0693
169,-28.59375,12.7856,97.01745000000001
170,-28.59375,12.7856,97.0266
171,-28.59375,12.7856,97.01745000000001
172,-28.59375,12.7856,97.03269999999999
173,-28.59375,12.7856,97.01745000000001
174,-28.59375,12.7856,97.0754
175,-28.59375,12.7856,97.04795
176,-28.59375,12.7856,97.03575000000001
177,-28.59375,12.7856,97.0571
178,-28.59375,12.7856,96.97779999999999
179,-28.59375,12.7856,97.06625
180,-28.59375,12.7856,96.94120000000001
181,-28.59375,12.7856,96.9595
182,-28.59375,12.7856,96.97779999999999
183,-28.59375,12.7856,97.0571
184,-28.59375,12.7856,97.0632
185,-28.59375,12.7856,97.06625
186,-28.59375,12.7856,96.97475
187,-28.59375,12.7856,97.01745000000001
188,-28.59375,12.7856,96.99305
189,-28.59375,12.7856,97.0083
190,-28.59375,12.7856,97.0693
191,-28.59375,12.7856,96.98695000000001
192,-28.59375,12.7856,96.93509999999999
193,-28.59375,12.7856,96.97475
194,-28.59375,12.7856,97.03575000000001
195,-28.59375,12.7856,96.96865
196,-28.59375,12.7856,97.03575000000001
197,-28.59375,12.7856,97.0144
198,-28.59375,12.7856,96.98085
199,-28.59375,12.7856,96.9717
200,-28.59375,12.7856,97.07234999999999
201,-28.59375,12.7856,97.01745000000001
202,-28.59375,12.7856,97.01135
203,-28.59375,12.7856,97.0144
204,-28.59375,12.7856,97.01135
205,-28.59375,12.7856,97.0083
206,-28.59375,12.7856,96.96255000000001
207,-28.59375,12.7856,96.9839
208,-28.59375,12.7856,96.96255000000001
209,-28.59375,12.7856,96.99
210,-28.59375,12.7856,97.01135
211,-28.59375,12.7856,96.9717
212,-28.59375,12.7856,96.99
213,-28.59375,12.7856,96.93205
214,-28.59375,12.7856,96.9717
215,-28.59375,12.7856,96.97475
216,-28.59375,12.7856,96.9839
217,-28.59375,12.7856,96.99915
218,-28.59375,12.7856,97.0144
219,-28.59375,12.7856,97.02355
220,-28.59375,12.7856,97.04185
221,-28.59375,12.7856,97.0144
222,-28.59375,12.7856,96.99
223,-28.59375,12.7856,97.01745000000001
224,-28.59375,12.7856,97.0022
225,-28.59375,12.7856,96.99915
226,-28.59375,12.7856,97.0632
227,-28.59375,12.7856,97.0815
228,-28.59375,12.7856,97.04795
229,-28.59375,12.7856,96.96255000000001
230,-28.59375,12.7856,97.0083
231,-28.59375,12.7856,97.02964999999999
232,-28.59375,12.7856,97.0266
233,-28.59375,12.7856,97.0449
234,-28.59375,12.7856,96.98085
235,-28.59375,12.7856,97.02355
236,-28.59375,12.7856,96.9961
237,-28.59375,12.7856,96.9595
238,-28.59375,12.7856,96.95035
239,-28.59375,12.7856,96.98085
240,-28.59375,12.7856,96.9473
241,-28.59375,12.7856,96.96560000000001
242,-28.59375,12.7856,97.03575000000001
243,-28.59375,12.7856,96.92595
244,-28.59375,12.7856,96.92595
245,-28.59375,12.7856,96.97779999999999
246,-28.59375,12.7856,96.94425000000001
247,-28.59375,12.7856,96.9961
248,-28.59375,12.7856,96.929
249,-28.59375,12.7856,96.98085
250,-28.59375,12.7856,96.97475
251,-28.59375,12.7856,96.98695000000001
252,-28.59375,12.7856,97.00525
253,-28.59375,12.7856,96.94425000000001
254,-28.59375,12.7856,97.0083
255,-28.59375,12.7856,96.96865
256,-28.59375,12.7856,96.96255000000001
257,-28.59375,12.7856,96.9595
258,-28.59375,12.7856,96.9534
259,-28.59375,12.7856,96.96560000000001
260,-28.59375,12.7856,96.93815
261,-28.59375,12.7856,96.96560000000001
262,-28.59375,12.7856,96.96560000000001
263,-28.59375,12.7856,96.98085
264,-28.59375,12.7856,96.97475
265,-28.59375,12.7856,96.9534
266,-28.59375,12.7856,96.97779999999999
267,-28.59375,12.7856,96.9839
268,-28.59375,12.7856,96.95035
269,-28.59375,12.7856,96.98085
270,-28.59375,12.7856,96.9717
271,-28.59375,12.7856,96.99305
272,-28.59375,12.7856,97.00525
273,-28.59375,12.7856,97.0205
274,-28.59375,12.7856,97.0205
275,-28.59375,12.7856,97.01135
276,-28.59375,12.7856,96.97779999999999
277,-28.59375,12.7856,96.98695000000001
278,-28.59375,12.7856,97.0022
279,-28.59375,12.7856,97.00525
280,-28.59375,12.7856,97.0022
281,-28.59375,12.7856,97.01745000000001
282,-28.59375,12.7856,96.9717
283,-28.59375,12.7856,96.98085
284,-28.59375,12.7856,96.98695000000001
285,-28.59375,12.7856,96.96255000000001
286,-28.59375,12.7856,96.929
287,-28.59375,12.7856,96.929
288,-28.59375,12.7856,97.03269999999999
289,-28.59375,12.7856,96.9961
290,-28.59375,12.7856,96.97475
291,-28.59375,12.7856,96.97779999999999
292,-28.59375,12.7856,97.02355
293,-28.59375,12.7856,96.99
294,-28.59375,12.7856,97.02355
295,-28.59375,12.7856,96.98695000000001
296,-28.59375,12.7856,96.93815
297,-28.59375,12.7856,96.9534
298,-28.59375,12.7856,96.93205
299,-28.59375,12.7856,96.95644999999999
300,-28.59375,12.7856,96.94120000000001
301,-28.59375,12.7856,96.94425000000001
302,-28.59375,12.7856,96.96255000000001
303,-28.59375,12.7856,96.9534
304,-28.59375,12.7856,96.9717
305,-28.59375,12.7856,96.95035
306,-28.59375,12.7856,96.93509999999999
307,-28.59375,12.7856,97.00525
